,date,text,topic,topic_proba
1256272,1684672440,"Подписчики отправляют фото весенней природы нашего края, а мы делимся с вами! 
 
Красотища, правда? 
 
Знаем, что у вас тоже есть классные снимки 😎 Не стесняйтесь отправлять их в комментах!",Культура,0.7304134
1256265,1684666290,"Вопрос о том, куда поехать в отпуск, второе лето подряд занимает головы наших соотечественников. Анапа, кажется, будет забита под завязку, как и Санкт-Петербург, а дача с картошкой успевают надоесть еще в мае. 

Куда можно отправиться без визы за небольшие деньги, выяснили наши коллеги. Публикуем их небольшой, но полезный гайд. 

https://59.ru/text/world/2023/05/21/72320072/?utm_source=vk&utm_medium=social&utm_campaign=59",Экономика,0.6855144
1256263,1684665971,"Летом на берегу Камы устроят двухдневный музыкальный фестиваль. Хедлайнером будет Найк Борзов. Помимо выступлений музыкантов на фестивале будут проводить соревнования и мастер-классы по экстремальным видам спорта. Рассказываем подробнее. 

https://59.ru/text/gorod/2023/05/21/72323879/?utm_source=vk&utm_medium=social&utm_campaign=59",Культура,0.32868844
1256261,1684665612,"Мы продолжаем задавать неловкие вопросы врачам. В этом выпуске мы разбираемся в бесконечном голоде, вздутии и газах, во вреде откладывания похода в туалет по-большому и в глистах в головном мозге. На все вопросы, которые вы стеснялись задать на приеме, 59.RU ответил гастроэнтеролог Александр Соболь.

https://59.ru/text/health/2023/05/21/72319613/?utm_source=vk&utm_medium=social&utm_campaign=59",Экономика,0.72527224
1256257,1684665414,"Все овощи уже рассажены на свои законные места, а свободная грядка всё-таки осталась? Дорогие дачники, у нас есть для вас идея: заполните пустоту полезными и пряными травами. 

Они не отнимут у вас много времени и сил, зато потом окажутся очень кстати. Что посадить в аптекарском огороде — рассказываем по ссылке. 

https://59.ru/text/spring/2023/05/21/72305861/?utm_source=vk&utm_medium=social&utm_campaign=59",Наука и техника,0.9825979
1256255,1684665261,"Одна из насущных проблем россиян — цены растут, а зарплаты за ними не поспевают. Поэтому многим приходится искать подработку на вечер или выходные. 

Вот и наша коллега решила улучшить свое материальное положение и начала искать, где можно немного подзаработать. 

О том, почему собирание букетиков из ковыля, опросы по телефону и расклейка объявлений — не самые перспективные варианты, журналистка рассказала в своей авторской колонке.

https://59.ru/text/job/2023/05/21/72319139/?utm_source=vk&utm_medium=social&utm_campaign=59",Экономика,0.5144746
1256229,1684658058,"В руки нашего автоэксперта попала очередная китайская машина. Но в этот раз отзывом на него поделится не только опытный тестировщик, но и его семья, которая не очень-то жалует автомобили из Поднебесной. 

Как изменились китайские марки за минувшие 15 лет и чего ждать от Chery Tiggo 8 Pro — читайте в подробном обзоре.

https://59.ru/text/auto/2023/05/21/72305954/?utm_source=vk&utm_medium=social&utm_campaign=59",Наука и техника,0.35069788
1256228,1684657909,"20 мая руководитель ЧВК «Вагнер» Евгений Пригожин заявил о том, что был взят город Бахмут (Артемовск). Операция заняла 224 дня. Информацию подтвердили в Минобороны России, а президент Владимир Путин поздравил ВС РФ и ЧВК «Вагнер» со взятием города. Рассказываем подробно обо всём, что известно об этом событии.

https://59.ru/text/world/2023/05/21/72323771/?utm_source=vk&utm_medium=social&utm_campaign=59",Силовые структуры,0.27759168
1256224,1684657592,"У юристки Елены Першаковой провели дома обыск. При этом, сообщается, что за ней пришли к ее подруге, а оттуда уже отправились в квартиру Елены. Как рассказали ее коллеги, обыск связан с пермским «Мемориалом»*.

* Организация ликвидирована в 2022 году, входила в структуру международного «Мемориала», признанного иностранным агентом и тоже ликвидированного.

https://59.ru/text/gorod/2023/05/21/72323726/?utm_source=vk&utm_medium=social&utm_campaign=59",Силовые структуры,0.56953996
1256215,1684650859,"Отечественные кинематографисты решили быть в тренде и представили зрителю еще одну версию Холмса и Ватсона — Станиславского и Гиляровского. 

В новом фильме Шахназарова «Хитровка. Знак четырех» герои Константина Крюкова и Михаила Пореченкова расследуют убийство. 

Удалось ли режиссеру создать атмосферу настоящего детектива, а зрителям — поверить в Станиславского? Читайте в рецензии наших коллег.

https://59.ru/text/entertainment/2023/05/21/72320171/?utm_source=vk&utm_medium=social&utm_campaign=59",Культура,0.51773715
