,date,text,topic,topic_proba
4326417,1684669920,"Пермь р. Мулянка 
 
Автор фото: Александр Вилисов",Город,0.5985809
4326392,1684666801,"Доставим за 77 минут или сет роллов - бесплатно! 🍱

Крутая акция в Томми Фиш - доставим ваш заказ за 77 минут или подарим бесплатный сет роллов 🎁 

🤔 Как это будет работать?
-Оформляете заказ
-Ждёте курьера
-Получаете свой заказ

✅ В случае, если время доставки с момента принятия заказа превысило 77 минут - на следующий день мы отправим вам промокод на сет «Для двоих» , который вы получите совершенно бесплатно! 😻

Круто, правда? Скорее заказывайте в приложении: https://vk.cc/cn7BHM и ставьте таймер! ⏱",Наука и техника,0.6428513
4326369,1684663860,"В Перми на Коммунальном мосту открыли движение по всей ширине проезжей части. Подрядчик завершил работы на ранее закрытой части моста, что позволило её открыть. 

Движение по всем полосам открыли на время ремонта ул. Спешилова для минимизации транспортных заторов. О том, когда работы возобновятся, власти проинформируют дополнительно.",Город,0.35528314
4326336,1684659060,"В Перми 27 мая пройдёт фестиваль сирени. К 300-летию Перми дом народного творчества «Губерния» затеял новое событие — «Сиреневый фестиваль». Тема не случайна: возле культурного учреждения есть прекрасный сиреневый сквер. 
 
В конце весны «губернская» сирень станет естественным украшением и благоуханной декорацией фестиваля. В программе ожидаются лекции и беседы о сирени от биологов, искусствоведов, экологов, фармацевтов, специалистов ароматерапии. 
 
Кроме того, музыканты исполнят «сиреневые» композиции. Ожидается также дефиле в сиреневом, премьера документального фильма «Зелёные острова природы», конкурс профессиональных флористов, ярмарка и мастер-классы.",Культура,0.41840172
4326313,1684656300,"Посикунчики или шанежки — стоит ли вообще делать выбор? Райан Гослинг так не думает. 
 
Так решила Алиса, которая теперь умеет писать тексты и предлагать идеи благодаря интеграции нейросети нового поколения YandexGPT. Это позволяет Алисе отвечать на вопросы почти как человек, разбирающийся в теме. 
 
Если захотите воспользоваться обновлённым функционалом, просто скажите: «Алиса, давай придумаем!».",Наука и техника,0.8510419
4326278,1684653420,"Перекресток Плеханова Шоссе Космонавтов. Проезд на красный, чудом никого не угробил, перекресток переходили пешеходы, в том числе ребенок",Город,0.9885268
4326244,1684648320,А жизнь идёт! Окрестности Юбилейного,Город,0.8666731
4326225,1684645500,"Через 4 дня станут известны названия компаний, которые войдут в ТОП-100 Народной премии 59.RU — премии, номинируют на которую и голосуют сами пермяки. Бизнесу нужна ваша помощь! 
 
У вас есть любимый ресторан или бар, медицинский центр, фитнес-клуб или салон красоты? Тогда номинируйте его на премию. Уверены, компании будет приятно, если труд будет оценен. 
 
Какие еще есть номинации: Кофейня и кондитерская года, Образовательный и детский центр, Сделано в Перми, Работодатель года, Супермаркет и Торговый центр года. Разгуляться есть где! 
 
Как выдвинуть любимую компанию на премию? Всё очень просто. Это займет две минуты: 
 
1. Заходите на сайт https://59.ru/award 
 
2. Нажимайте «Предложить номинанта». 
 
3. Зарегистрируйтесь (это можно сделать через соцсеть в два клика). 
 
4. Выберите номинацию и напишите название компании. 
 
5. Готово! Вы великолепны. 
 
После этого отбора мы сформируем шорт-листы по всем номинациям и откроем голосование. Ждем ваших любимчиков!",Культура,0.8409617
4326193,1684642620,"Об аресте жителя посёлка Щучье озеро сообщил пермский зоозащитник Семён Филипповский. Он заявил, что мужчину арестовали на два месяца по ст. 245 УК РФ (она предусматривает ответственность за жестокое обращение с животным). По словам зоозащитника, мужчина пробудет под стражей два месяца. 
 
В МВД по Пермскому краю подтвердили, что мужчина арестован. Однако уточнили, что уголовное дело возбуждено по ч. 2 ст. 158 УК РФ, которая предусматривает ответственность за совершение кражи с причинением значительного ущерба гражданину. 

«По факту жестокого обращения с животным проводится проверка, по результатам которой будет принято процессуальное решение», – пояснили в полиции. 
 
Напомним, об изнасиловании молодой козы в Октябрьском округе сообщил известный пермский зоозащитник Семён Филипповский. Он, ссылаясь на показания свидетелей, рассказал, что инцидент произошёл в ночь с 9 на 10 мая в посёлке Щучье озеро. Зоозащитник заявил, что ранее судимый мужчина утащил козу в кусты, где надругался над ней. В МВД рассказали, что 13 мая в полицию обратилась местная жительница, которая заявила о краже животного.",Силовые структуры,0.9732832
4326032,1684606877,"Прямо сейчас горит расселенный дом Коминтерна, 12",Силовые структуры,0.75966334
